bls_code,name,product_category_id,price,protein,fat,carbohydrate,fiber,total_sugar,saturated_fat,kilocalories,kilocalories_with_fiber
Q260000,Кукурузное масло,44,111,0,100000,0,0,0,13952,884,884
B740500,Кукурузные лепешки из цельнозерновой муки,25,111,6097,2710,43754,6232,876,312,226,238
C515000,Кукурузные хлопья,24,111,7705,600,79650,4000,7169,80,360,368
C535200,Кукурузные шарики,24,111,5000,3581,79829,2596,31428,515,376,381
C446000,Кукурузный крахмал,38,111,431,80,85900,1000,0,9,351,353
B740200,Кукурузный хлеб,25,111,8002,2087,44668,5020,1248,417,232,242
B740100,Кукурузный хлеб из цельнозерновой муки,25,111,7333,1812,40914,6248,1113,240,212,224
H420100,Кунжутное семя сырое,19,111,20896,50400,10200,11180,204,7646,572,593
V416000,Куриная грудка  сырая,29,111,19900,9600,0,0,0,2776,166,166
V415200,Куриная ножка глубокой заморозки,29,111,18150,11200,0,0,0,3976,173,173
V415100,Куриная ножка сырая,29,111,18150,11200,0,0,0,3670,173,173
V414000,Куриное мясо с кожей,29,111,19900,9600,0,0,0,2775,166,166
V414200,Куриное мясо с кожей глубокой заморозки,29,111,19900,9600,0,0,0,2776,166,166
V414100,Куриное мясо  сырое,29,111,19900,9600,0,0,0,2670,166,166
E113100,"Куриное яйцо, белок, сырое",32,111,11100,30,700,0,410,8,48,48
E112100,"Куриное яйцо, желток, сырое",32,111,16100,31900,300,0,210,9409,348,348
E110101,"Куриное яйцо, сырое, с скорлупой",32,111,10428,8202,1346,0,1346,2386,120,120
V410100,Курица сырая,29,111,19900,9600,0,0,0,2775,166,166
C119200,Кускус сырой,22,111,11690,1700,68690,6170,825,250,341,353
R237000,Лавровый лист сушеный,52,111,7600,8400,48600,26320,48114,2296,303,353
F601101,Лимон сырой целый,16,111,448,384,2022,832,2022,84,23,25
R552000,Лимонная кислота,16,111,0,0,0,0,0,0,284,284
F601600,Лимонный сок,1,111,635,484,3756,131,1700,106,37,38
G250101,Лист петрушки сырой целый,15,111,2658,216,4428,2550,2873,28,31,36
G086100,Лист сельдерея сырой,15,111,1100,200,4300,2000,4257,37,25,28
G200100,Листовая зелень сырая,15,111,2814,300,610,1800,466,36,19,22
G320100,Листовая капуста сырая,15,111,1070,300,1242,1700,1194,74,13,16
G108101,Листовой салат сырой целый,15,111,1040,240,2240,1280,2218,45,16,18
G211100,Шпинат сырой,15,111,2814,300,610,1800,468,32,19,22
G110000,Салат Лолло россо сырой,15,111,1300,300,2800,1790,830,57,20,23
G482100,Лук зеленый сырой,15,111,1298,270,5500,1810,4235,63,31,34
G480101,Лук репчатый сырой целый,15,111,1083,230,4527,1288,3681,78,25,28
H410100,Льняное семя сырое,19,111,22270,36500,7710,22700,1210,3597,444,488
E612000,"Макаронные изделия без глютена, сухие",23,111,466,91,86677,1535,0,10,355,358
E604000,"Макаронные изделия без яиц из твердых сортов пшеницы, сухая",23,111,12500,1200,70450,5100,422,176,348,357
E450000,"Макаронные изделия с высоким содержанием яиц, сухие",23,111,13460,2930,68150,3400,409,426,357,364
E404000,"Макаронные изделия, без яиц, спагетти, сухие",23,111,12500,1200,70450,5100,422,176,348,357
E460000,"Макаронные изделия с высоким содержанием яиц, сухие",23,111,12940,3594,69292,2617,801,931,366,371
F302200,Малина глубокой заморозки,16,111,1359,314,5027,4912,5015,11,36,45
F302101,Малина сырая целиком,16,111,1248,288,4618,4512,4606,10,33,41
F302800,Малиновое варенье,18,111,450,299,60870,1200,55180,11,254,256
F308800,Малиновое желе,10,111,450,299,60800,1200,65097,11,254,256
F606101,Мандарин сырой целиком,16,111,455,195,6565,1105,6565,40,33,35
F606800,Мандариновое варенье,18,111,258,111,66753,626,66753,23,274,276
C116000,Манная крупа,22,111,10302,790,68960,7100,828,116,329,342
Q481000,Маргарин для выпечки,45,111,200,80000,400,0,0,32274,709,709
Q610000,Масло сливочное,46,111,670,83199,600,0,600,53811,741,741
D400700,Маффины,26,111,7119,3571,39407,1512,2779,1485,221,224
D400800,Маффины с черникой,26,111,5952,10656,40023,1676,11872,4042,282,285
S120000,Мед,27,111,380,0,75070,0,73598,0,306,306
F534101,Дыня сырая целиком,16,111,616,69,8680,511,8680,23,38,40
F407100,Мелкоплодная клюква сырая,16,111,350,700,3930,3800,3924,42,36,43
F090800,Микс фруктовое варенье,18,111,332,67,66676,605,66268,8,273,275
T213200,Минтай глубокой заморозки,30,111,16700,800,0,0,0,151,75,75
T213100,Минтай сырой,30,111,16700,800,0,0,0,151,75,75
M100000,Простокваша,41,111,3382,3569,4700,0,4700,2401,65,65
M110200,"Молоко коровье 1,5% жирности",12,111,3392,1601,4800,0,4800,1077,48,48
M1A5200,"Молоко коровье 1,5% жирности безлактозное ультрапастеризованное (УВТ)",12,111,3300,1501,2800,0,2800,910,39,39
M110232,"Молоко коровье 1,5% жирности кипяченное",12,111,3454,1630,4887,0,4887,1096,49,49
M113200,"Молоко коровье 1,5% жирности ультрапастеризованное (УВТ)",12,111,3392,1601,4800,0,4800,1076,48,48
M110300,"Молоко коровье 3,5% жирности",12,111,3382,3569,4700,0,4700,2401,65,65
M114300,"Молоко коровье 3,5% жирности без лактозы ",12,111,3382,3569,4700,0,4700,2401,65,65
M110332,"Молоко коровье 3,5% жирности кипяченное",12,111,3442,3632,4784,0,4784,2443,66,66
M111332,"Молоко коровье свежее  3,5% жирности кипяченное",12,111,3389,3847,4783,0,4783,2590,68,68
M113300,"Молоко коровье ультрапастеризованное (УВТ) жирностью 3,5%",12,111,3180,3778,4700,0,4713,2342,66,66
M209200,"Молочные напитки 1,5% жирности с ультрапастеризацией (УВТ)",13,111,3053,1441,14300,0,14300,970,84,84
M210200,"Молочные напитки 1,5% жирности с фруктами без сахара",13,111,2926,1309,7718,1213,7394,860,56,58
M2G5300,"Молочные напитки 3,5% жирности с несладкими фруктами",13,111,2852,2890,7636,413,7362,1927,69,70
M2S9300,Молочные напитки с пробиотиками,13,111,1522,1606,12095,0,12095,1080,70,70
M209300,"Молочные напитки, жирность 3,5%, ультрапастеризованные",13,111,3044,3212,14210,0,14210,2159,99,99
G620600,Морковный сок,1,111,630,151,4750,320,3518,31,24,24
G620101,Морковь сырая целая,15,111,689,148,5575,2509,5401,30,27,32
T305200,Морская камбала глубокой заморозки,30,111,17100,1899,0,0,0,403,86,86
R112000,Морская соль,51,111,0,0,0,0,0,0,0,0
M032100,Моцарелла,47,111,17120,20990,1750,0,0,14259,263,263
M0A1000,Моцарелла 20% жирности  ,47,111,12300,4301,3300,0,3300,2496,104,104
C424000,Мука гречневая светлая,22,111,5100,800,78250,2800,469,139,346,351
C417000,Мука грубого помола из нескольких злаков,22,111,11381,1900,60990,9967,1238,301,311,330
H760300,Соевая мука,22,111,40827,20600,3100,18540,3069,2835,360,396
C235000,Цельнозерновая мука,22,111,12660,3579,63672,8260,3860,454,342,357
C213000,Мука пшеничная (сорт 650-1800),22,111,12705,1300,66740,4780,690,188,334,343
C571000,Мука пшеничная с разрыхлителем,22,111,8900,1200,70105,4100,420,176,331,339
C214000,Мука пшеничная сорт <650,22,111,10040,980,72341,2750,735,143,343,348
C213200,Мука пшеничная сорт 1050,22,111,12101,1750,67190,5200,672,255,337,347
C213300,Мука пшеничная сорт 1200,22,111,11410,2160,66080,5610,661,315,334,344
C213500,Мука пшеничная сорт 1600,22,111,12700,2130,65160,6430,651,310,335,347
C213600,Мука пшеничная сорт 1700,22,111,12101,2100,60900,9200,744,306,315,332
C214100,Мука пшеничная сорт 405,22,111,10040,980,72341,2750,732,143,343,348
C214200,Мука пшеничная сорт 550,22,111,10603,1130,72000,3500,1082,165,345,352
C214300,Мука пшеничная сорт 630,22,111,11401,1540,69040,4100,540,224,340,348
C213100,Мука пшеничная сорт 812,22,111,12705,1300,66740,4780,690,188,334,343
C512100,Мюсли,24,111,11047,6839,58972,9765,10083,902,346,364
C536000,Мюсли подслащенные,24,111,10725,6640,60161,9481,12693,876,348,366
M600300,Мягкий сыр  не менее  20% жирности  ,47,111,24197,9000,0,0,0,5461,178,178
M600400,Мягкий сыр  не менее  30% жирности  ,47,111,23636,13000,0,0,0,7901,211,211
M600500,Мягкий сыр  не менее  40% жирности  ,47,111,22642,20000,0,0,0,12144,269,269
M600600,Мягкий сыр  не менее  45% жирности  ,47,111,20102,21799,1,0,1,13226,275,275
M600700,Мягкий сыр  не менее  50% жирности  ,47,111,21100,25499,0,0,0,15470,312,312
M622400,Мягкий сыр из козьего молока не менее  30% жирности   ,47,111,11770,6000,3561,0,3561,3641,118,118
M623500,Мягкий сыр из козьего молока не менее  40% жирности   ,47,111,15000,19000,5000,0,5000,11527,251,251
M6A9600,Мягкий сыр из козьего молока не менее  45% жирности   ,47,111,20102,21799,1,0,1,13226,275,275
M620700,Мягкий сыр из козьего молока не менее  50% жирности   ,47,111,21880,33630,2330,0,0,24620,400,400
U104100,Мясо говядины сырое,29,111,22000,1900,110,0,46,787,107,107
V481200,Мясо индейки без кожи глубокой заморозки,29,111,5100,2200,0,0,0,730,40,40
V481100,Мясо индейки без кожи сырое,29,111,5100,2200,0,0,0,730,40,40
M2G4200,"Напитки молочные 1,5% жирности несладкие",13,111,2860,1315,7716,413,7442,870,55,56
M202200,"Напитки молочные 1,5% жирности с фруктовыми добавками",13,111,2916,1372,14988,83,14939,922,86,86
M202300,"Напитки молочные 3,5% жирности с фруктовыми добавками",13,111,2908,3056,14902,83,14853,2053,100,100
M2L4200,"Напиток йогуртовый 1,5% жирности с фруктами несладкий",41,111,2955,1315,7530,413,7256,825,56,57
F202101,Нектарин сырой целый,16,111,828,92,11408,2024,10704,8,51,55
F202800,Джем из нектарина,18,111,332,37,67600,811,67304,3,276,278
V485100,Ножка индейки сырая,29,111,20500,3610,0,0,0,1426,115,115
G770400,Нут сушеный,20,111,18583,5917,44300,15520,2411,1090,310,339
G770100,Нут сырой,20,111,7500,2700,21240,4400,1502,497,141,150
K270000,Ньокки (итальянские клецки) сырые,23,111,3880,610,34255,1840,991,151,162,165
C131000,Овес цельнозерновой сырой,22,111,10675,7090,55700,9670,1080,1470,332,351
G992100,Овощная смесь  - горох и морковь -  cырая,15,111,3695,330,9550,4030,3759,65,57,65
C137000,Овсяная крупа,22,111,15863,5840,58910,10800,943,1211,355,376
C233000,Овсяная мука ,22,111,14238,7150,67870,5000,610,1377,396,406
C232000,Овсяная мука грубого помола ,22,111,10675,7090,55700,9670,446,1300,332,351
D701700,Овсяно-ореховое печенье,28,111,8280,30515,41202,4009,19552,8016,471,478
D701600,Овсяное печенье,28,111,7690,20145,49303,3529,20273,11436,410,417
X918912,Овсяное печенье,28,111,8275,27704,45736,3533,26551,12706,464,471
D626000,Овсяное печенье для диабетиков,28,111,12631,23350,47009,11952,9323,3096,449,471
C133000,Овсяные хлопья Геркулес,22,111,13220,6650,59541,9660,770,1105,354,373
C133100,Овсяные хлопья из цельнозерновой муки,22,111,13220,6650,59541,9660,772,1245,354,373
G520900,Огурец консервированный с жидкостью,17,111,395,131,1129,591,1097,44,8,9
G520902,Огурец консервированный без жидкости,17,111,551,183,1399,852,1359,61,10,12
G520800,Огурец маринованный с жидкостью,17,111,321,100,889,449,864,33,7,8
G520802,Огурец маринованный сушеный,17,111,531,165,1306,767,1269,55,10,11
G520101,Огурец сырой целый,15,111,432,144,1303,648,1265,47,9,10
T423200,Форель глубокой заморозки,30,111,20550,3360,0,0,0,877,113,113
T423100,Озерная форель сырая,30,111,20550,3360,0,0,0,877,113,113
H510802,"Оливки зеленые маринованные ,без жидкости,",17,111,1380,13901,1760,2360,35,1949,143,148
H510800,Оливки зеленые маринованные с жидкостью,17,111,1380,13900,1760,2360,35,2046,143,148
H520802,"Оливки черные маринованные ,без жидкости,",17,111,1770,17347,4130,7865,83,2551,185,200
H520800,Оливки чёрные маринованные с жидкостью,17,111,1000,9800,3000,4300,60,1441,111,119
Q120000,Оливковое масло,44,111,0,100000,200,0,4,14380,884,884
R221000,Орегано (дикий майоран) сушеный,52,111,11000,10300,49500,14960,49005,1895,338,366
H170101,Орехи кешью сырые цельные,19,111,16808,37680,17744,2480,17744,7469,473,478
B821000,Панировочные сухари,25,111,10100,2100,73515,5300,4411,454,358,368
B822000,Панировочные сухари без глютена,25,111,7398,6939,64136,8442,1122,819,352,368
B840200,Панировочные сухари из белого хлеба,25,111,10100,2100,73515,5300,4411,454,358,368
R251200,Паприка сладкая,52,111,14800,13000,34900,20900,33155,2106,317,357
E403000,"Ленточная лапша, паста без яиц, сухая",22,111,12500,1200,70450,5100,422,176,348,357
E405000,"Макароны без яиц, сухие",22,111,12500,1200,70450,5100,422,176,348,357
E406000,"Паста без яиц, суповая лапша, сухая",22,111,12500,1200,70450,5100,422,176,348,357
E401000,"Паста без яиц, сухая",22,111,12500,1200,70450,5100,422,176,348,357
E440000,"Паста из свежих яиц, сухая",22,111,11795,2456,71591,2712,780,594,360,365
E540000,"Паста яичная из цельнозерновой муки, сухая",22,111,13355,3878,59892,10019,776,817,332,351
E701000,"Паста из цельнозерновой муки, без яиц, пшеничная, сухая",22,111,13400,2500,60600,11500,728,364,323,345
E510000,"Паста из цельнозерновой муки, без яиц, сухая",22,111,13400,2500,60600,11500,728,364,323,345
